,time_slot,day_of_week,T,RH,AH,PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),true_label,given_label,true_error
0,evening,wednesday,13.6,48.9,0.7578,1046.0,1056.0,1692.0,1268.0,0.3273915679947541,1.14056034018175,0
1,evening,wednesday,13.3,47.7,0.7255,955.0,1174.0,1559.0,972.0,-0.0902985719126186,0.8296055844970882,0
2,evening,wednesday,11.9,54.0,0.7502,939.0,1140.0,1555.0,1074.0,0.0489314747231723,1.3326206304575707,1
3,evening,wednesday,11.0,60.0,0.7867,948.0,1092.0,1584.0,1203.0,0.0489314747231723,1.2137261650487294,1
4,night,wednesday,11.2,59.6,0.7888,836.0,1205.0,1490.0,1110.0,-0.3687586651842005,0.738148303413364,1
5,night,wednesday,11.2,59.2,0.7848,750.0,1337.0,1393.0,949.0,-0.6472187584557824,0.3951834993493986,1
6,night,thursday,11.3,56.8,0.7603,690.0,1462.0,1333.0,733.0,-0.6472187584557824,0.3403091306991641,0
7,night,thursday,10.7,60.0,0.7702,672.0,1453.0,1333.0,730.0,-0.7864488050915732,0.11623879204404,0
8,night,thursday,10.7,59.7,0.7648,609.0,1579.0,1276.0,620.0,-0.8560638284094687,-0.0758214982317805,0
9,night,thursday,10.3,60.2,0.7517,561.0,1705.0,1235.0,501.0,-1.064908898363155,-0.4599420787834218,0
11,morning,thursday,11.0,56.2,0.7366,512.0,1918.0,1182.0,422.0,-0.9952938750452596,-0.2038616917489943,0
12,morning,thursday,10.5,58.1,0.7353,553.0,1738.0,1221.0,472.0,-0.9952938750452596,-0.2678817885076012,0
13,morning,thursday,10.2,59.6,0.7417,667.0,1490.0,1339.0,730.0,-0.7168337817736777,0.1528217044775297,0
14,morning,thursday,10.8,57.4,0.7408,900.0,1136.0,1517.0,1102.0,-0.0902985719126186,1.0170930107187226,1
15,morning,thursday,10.5,60.6,0.7691,960.0,1079.0,1583.0,1028.0,0.0489314747231723,1.0994045636940744,1
16,morning,thursday,10.8,58.4,0.7552,827.0,1218.0,1446.0,860.0,-0.2991436418663051,0.5598066053001021,0
17,morning,thursday,10.5,57.9,0.7352,762.0,1328.0,1362.0,671.0,-0.4383736885020959,0.3128719463740469,0
18,morning,thursday,9.5,66.8,0.7951,774.0,1301.0,1401.0,664.0,-0.3687586651842005,0.5735251974626606,0
19,afternoon,thursday,8.3,76.4,0.8393,869.0,1162.0,1537.0,799.0,-0.1599135952305142,0.8021684001719709,0
20,afternoon,thursday,8.0,81.1,0.8736,1034.0,983.0,1730.0,1037.0,0.5362366379484403,1.1908618447777983,0
21,afternoon,thursday,8.3,79.8,0.8778,933.0,1082.0,1647.0,946.0,0.0489314747231723,0.91191713747244,0
22,afternoon,thursday,9.7,71.2,0.8569,912.0,1103.0,1591.0,957.0,0.0489314747231723,0.8296055844970882,0
23,afternoon,thursday,9.8,67.6,0.8185,1020.0,1008.0,1719.0,1104.0,0.5362366379484403,1.245736213428033,0
24,evening,thursday,10.3,64.2,0.8065,1319.0,799.0,2083.0,1409.0,1.858922080988454,2.1511632961569016,0
25,evening,thursday,9.7,69.3,0.8319,1488.0,702.0,2333.0,1704.0,3.320837570664259,3.042871786723212,0
26,evening,thursday,9.6,67.8,0.8133,1404.0,743.0,2191.0,1654.0,2.7639173841210947,2.420962275353888,0
27,evening,thursday,9.1,64.0,0.7419,1076.0,957.0,1707.0,1285.0,1.2323868711273949,0.9256357296349984,0
28,night,thursday,8.2,63.4,0.6905,749.0,1325.0,1333.0,821.0,-0.4383736885020959,-0.6657209612218011,0
29,night,thursday,8.2,60.8,0.6657,629.0,1565.0,1252.0,552.0,-0.7864488050915732,-0.9035098920394838,0
30,night,friday,8.3,58.5,0.6438,805.0,1254.0,1375.0,816.0,-0.2991436418663051,-0.1398415949903874,0
31,night,friday,7.7,59.7,0.6308,829.0,1247.0,1378.0,832.0,-0.1599135952305142,-0.3044647009410908,0
32,night,friday,7.1,61.8,0.6276,718.0,1396.0,1304.0,692.0,-0.5079887118199915,-0.5605450879755184,0
33,night,friday,7.0,62.3,0.6261,574.0,1680.0,1187.0,512.0,-0.925678851727364,-1.0132586293399528,0
35,morning,friday,6.3,65.0,0.6233,501.0,1895.0,1155.0,394.0,-1.064908898363155,-1.2053189196157734,0
36,morning,friday,6.8,62.9,0.6234,571.0,1685.0,1223.0,487.0,-0.925678851727364,-0.839489795280877,0
37,morning,friday,6.4,65.1,0.6316,730.0,1387.0,1361.0,748.0,-0.5079887118199915,-0.0895400903943392,0
38,morning,friday,7.3,63.1,0.6499,1236.0,897.0,1900.0,1400.0,1.5804619877168724,2.178600480482019,0
40,morning,friday,13.2,41.7,0.632,1118.0,912.0,1712.0,1237.0,0.6754666845842314,1.094831699639888,0
41,morning,friday,14.3,38.4,0.6243,1037.0,969.0,1598.0,1167.0,0.3970065913126496,0.6969925269256882,0
42,morning,friday,15.0,36.5,0.6195,986.0,1035.0,1537.0,959.0,-0.0206835485947231,0.4363392758370745,0
43,afternoon,friday,16.1,34.5,0.6262,1016.0,1008.0,1593.0,983.0,0.2577765446768585,0.6466910223296399,0
44,afternoon,friday,16.3,35.7,0.656,1078.0,949.0,1660.0,1061.0,0.3970065913126496,0.8067412642261571,0
45,afternoon,friday,15.8,37.0,0.661,1122.0,922.0,1740.0,1139.0,0.5362366379484403,1.1085502918024468,0
46,afternoon,friday,15.9,37.2,0.6657,1073.0,954.0,1657.0,1112.0,0.4666216146305448,0.9073442734182536,0
47,afternoon,friday,16.9,34.3,0.6549,1041.0,1006.0,1610.0,994.0,0.188161521358963,0.7472940315217365,0
48,evening,friday,15.1,39.6,0.6766,1277.0,812.0,1910.0,1410.0,1.2323868711273949,1.826489948309681,0
49,evening,friday,14.4,43.4,0.7084,1246.0,821.0,1847.0,1448.0,1.093156824491604,1.895082909122474,0
50,evening,friday,12.9,50.5,0.7478,1610.0,624.0,2390.0,1887.0,3.1119925007105724,3.3492536783536875,0
51,evening,friday,12.1,53.3,0.7536,1299.0,752.0,1941.0,1627.0,1.5804619877168724,2.228901985078067,0
52,night,friday,11.0,59.1,0.774,1127.0,839.0,1723.0,1491.0,0.9539267778558131,1.7075954829008395,0
53,night,friday,9.7,64.6,0.7771,1346.0,741.0,2062.0,1657.0,2.276612220895827,2.590158245358777,0
54,night,saturday,9.5,64.1,0.7597,964.0,963.0,1544.0,1285.0,0.3970065913126496,0.7747312158468537,0
55,night,saturday,9.1,63.9,0.7423,873.0,1071.0,1463.0,1144.0,-0.1599135952305142,0.3906106352952124,0
56,night,saturday,8.8,63.9,0.7256,782.0,1176.0,1365.0,1043.0,-0.3687586651842005,0.3357362666449779,0
57,night,saturday,7.8,67.5,0.7173,783.0,1179.0,1380.0,996.0,-0.2991436418663051,0.2808618979947435,0
59,morning,saturday,8.3,63.6,0.6982,625.0,1420.0,1274.0,819.0,-0.7864488050915732,-0.6062737285173805,0
60,morning,saturday,7.2,67.5,0.6887,646.0,1406.0,1268.0,835.0,-0.6472187584557824,-0.0483843139066633,0
61,morning,saturday,6.3,71.9,0.6932,770.0,1228.0,1409.0,940.0,-0.4383736885020959,0.0064900547435711,0
62,morning,saturday,6.5,71.6,0.6945,1043.0,935.0,1678.0,1192.0,0.3970065913126496,1.0308116028812813,0
63,morning,saturday,9.6,59.7,0.7124,1153.0,830.0,1777.0,1411.0,1.093156824491604,1.360057814782688,0
64,morning,saturday,12.4,51.2,0.7335,1081.0,869.0,1667.0,1465.0,0.7450817079021269,1.53839951289595,0
65,morning,saturday,15.6,42.2,0.7451,1184.0,808.0,1780.0,1583.0,1.3716169177631856,1.97282159804364,0
