,true_error,time_slot,day_of_week,T,RH,AH,PT08.S1(CO),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),true_label,given_label
0,0,evening,wednesday,13.6,48.9,0.7578,1360.0,1056.0,1692.0,1268.0,0.6855,1.1138
1,0,evening,wednesday,13.3,47.7,0.7255,1292.0,1174.0,1559.0,972.0,0.5119,1.0169
2,0,evening,wednesday,11.9,54.0,0.7502,1402.0,1140.0,1555.0,1074.0,0.4022,0.9998
3,0,evening,wednesday,11.0,60.0,0.7867,1376.0,1092.0,1584.0,1203.0,0.3656,1.0094
4,0,night,wednesday,11.2,59.6,0.7888,1272.0,1205.0,1490.0,1110.0,0.2331,0.8902
5,0,night,wednesday,11.2,59.2,0.7848,1197.0,1337.0,1393.0,949.0,0.1737,0.7986
6,0,night,thursday,11.3,56.8,0.7603,1185.0,1462.0,1333.0,733.0,0.1417,0.7347
7,0,night,thursday,10.7,60.0,0.7702,1136.0,1453.0,1333.0,730.0,0.1417,0.7155
8,0,night,thursday,10.7,59.7,0.7648,1094.0,1579.0,1276.0,620.0,0.1097,0.6485
9,0,night,thursday,10.3,60.2,0.7517,1010.0,1705.0,1235.0,501.0,0.0868,0.5973
10,0,night,thursday,10.1,60.5,0.7465,1011.0,1818.0,1197.0,445.0,0.064,0.5611
11,0,morning,thursday,11.0,56.2,0.7366,1066.0,1918.0,1182.0,422.0,0.0366,0.5452
12,0,morning,thursday,10.5,58.1,0.7353,1052.0,1738.0,1221.0,472.0,0.0731,0.5888
13,0,morning,thursday,10.2,59.6,0.7417,1144.0,1490.0,1339.0,730.0,0.1325,0.7102
14,0,morning,thursday,10.8,57.4,0.7408,1333.0,1136.0,1517.0,1102.0,0.2925,0.9583
15,0,morning,thursday,10.5,60.6,0.7691,1351.0,1079.0,1583.0,1028.0,0.3976,1.0222
16,0,morning,thursday,10.8,58.4,0.7552,1233.0,1218.0,1446.0,860.0,0.3519,0.8806
17,0,morning,thursday,10.5,57.9,0.7352,1179.0,1328.0,1362.0,671.0,0.1965,0.8114
18,0,morning,thursday,9.5,66.8,0.7951,1236.0,1301.0,1401.0,664.0,0.2788,0.8241
19,0,afternoon,thursday,8.3,76.4,0.8393,1286.0,1162.0,1537.0,799.0,0.2879,0.9253
20,0,afternoon,thursday,8.0,81.1,0.8736,1371.0,983.0,1730.0,1037.0,0.7495,1.101
21,0,afternoon,thursday,8.3,79.8,0.8778,1310.0,1082.0,1647.0,946.0,0.361,0.9934
22,0,afternoon,thursday,9.7,71.2,0.8569,1292.0,1103.0,1591.0,957.0,0.4342,0.9711
23,0,afternoon,thursday,9.8,67.6,0.8185,1383.0,1008.0,1719.0,1104.0,0.6855,1.0861
24,0,evening,thursday,10.3,64.2,0.8065,1581.0,799.0,2083.0,1409.0,1.403,1.4045
25,0,evening,thursday,9.7,69.3,0.8319,1776.0,702.0,2333.0,1704.0,2.1068,1.5844
26,0,evening,thursday,9.6,67.8,0.8133,1640.0,743.0,2191.0,1654.0,1.8326,1.495
27,0,evening,thursday,9.1,64.0,0.7419,1313.0,957.0,1707.0,1285.0,0.9003,1.1457
28,0,night,thursday,8.2,63.4,0.6905,965.0,1325.0,1333.0,821.0,0.2788,0.7975
29,0,night,thursday,8.2,60.8,0.6657,913.0,1565.0,1252.0,552.0,0.1188,0.6698
30,0,night,friday,8.3,58.5,0.6438,1080.0,1254.0,1375.0,816.0,0.2514,0.8572
31,0,night,friday,7.7,59.7,0.6308,1044.0,1247.0,1378.0,832.0,0.2422,0.8827
32,0,night,friday,7.1,61.8,0.6276,988.0,1396.0,1304.0,692.0,0.1828,0.7645
33,0,night,friday,7.0,62.3,0.6261,889.0,1680.0,1187.0,512.0,0.096,0.6112
34,0,night,friday,6.1,65.9,0.6248,831.0,1893.0,1134.0,384.0,0.0457,0.5388
35,0,morning,friday,6.3,65.0,0.6233,847.0,1895.0,1155.0,394.0,0.032,0.5335
36,0,morning,friday,6.8,62.9,0.6234,927.0,1685.0,1223.0,487.0,0.0777,0.608
37,0,morning,friday,6.4,65.1,0.6316,1091.0,1387.0,1361.0,748.0,0.1508,0.7773
38,0,morning,friday,7.3,63.1,0.6499,1587.0,897.0,1900.0,1400.0,0.9232,1.3161
39,0,morning,friday,13.2,41.7,0.632,1350.0,912.0,1712.0,1237.0,0.9506,1.1904
40,0,morning,friday,14.3,38.4,0.6243,1263.0,969.0,1598.0,1167.0,0.7586,1.1042
41,0,morning,friday,15.0,36.5,0.6195,1206.0,1035.0,1537.0,959.0,0.521,1.0499
42,0,afternoon,friday,16.1,34.5,0.6262,1252.0,1008.0,1593.0,983.0,0.6398,1.0818
43,0,afternoon,friday,16.3,35.7,0.656,1287.0,949.0,1660.0,1061.0,0.7724,1.1478
44,0,afternoon,friday,15.8,37.0,0.661,1353.0,922.0,1740.0,1139.0,0.8455,1.1947
45,0,afternoon,friday,15.9,37.2,0.6657,1309.0,954.0,1657.0,1112.0,0.7541,1.1425
46,0,afternoon,friday,16.9,34.3,0.6549,1274.0,1006.0,1610.0,994.0,0.6078,1.1084
47,0,evening,friday,15.1,39.6,0.6766,1510.0,812.0,1910.0,1410.0,1.0648,1.3597
48,0,evening,friday,14.4,43.4,0.7084,1525.0,821.0,1847.0,1448.0,1.106,1.3267
49,0,evening,friday,12.9,50.5,0.7478,1843.0,624.0,2390.0,1887.0,2.2302,1.7143
50,0,evening,friday,12.1,53.3,0.7536,1598.0,752.0,1941.0,1627.0,1.5219,1.3832
51,0,night,friday,11.0,59.1,0.774,1484.0,839.0,1723.0,1491.0,0.9826,1.2
52,0,night,friday,9.7,64.6,0.7771,1677.0,741.0,2062.0,1657.0,1.6772,1.4332
53,0,night,saturday,9.5,64.1,0.7597,1280.0,963.0,1544.0,1285.0,0.5576,1.0265
54,0,night,saturday,9.1,63.9,0.7423,1196.0,1071.0,1463.0,1144.0,0.3062,0.9296
55,0,night,saturday,8.8,63.9,0.7256,1184.0,1176.0,1365.0,1043.0,0.1965,0.8327
56,0,night,saturday,7.8,67.5,0.7173,1172.0,1179.0,1380.0,996.0,0.2102,0.8337
57,0,night,saturday,7.0,71.1,0.7158,1147.0,1132.0,1412.0,992.0,0.2559,0.8742
58,0,morning,saturday,8.3,63.6,0.6982,978.0,1420.0,1274.0,819.0,0.1371,0.6655
59,0,morning,saturday,7.2,67.5,0.6887,1100.0,1406.0,1268.0,835.0,0.1234,0.6879
