,true_error,time_slot,day_of_week,T,RH,AH,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S5(O3),true_label,given_label
0,0,evening,wednesday,13.6,48.9,0.7578,1360.0,1046.0,1056.0,1268.0,0.9992,1.1619
1,0,evening,wednesday,13.3,47.7,0.7255,1292.0,955.0,1174.0,972.0,0.8135,1.0705
2,0,evening,wednesday,11.9,54.0,0.7502,1402.0,939.0,1140.0,1074.0,1.008,1.0678
3,0,evening,wednesday,11.0,60.0,0.7867,1376.0,948.0,1092.0,1203.0,1.0788,1.0877
4,0,night,wednesday,11.2,59.6,0.7888,1272.0,836.0,1205.0,1110.0,1.0257,1.0232
5,0,night,wednesday,11.2,59.2,0.7848,1197.0,750.0,1337.0,949.0,0.8489,0.9566
6,0,night,thursday,11.3,56.8,0.7603,1185.0,690.0,1462.0,733.0,0.6809,0.9154
7,0,night,thursday,10.7,60.0,0.7702,1136.0,672.0,1453.0,730.0,0.672,0.9154
8,0,night,thursday,10.7,59.7,0.7648,1094.0,609.0,1579.0,620.0,0.5305,0.8762
9,0,night,thursday,10.1,60.5,0.7465,1011.0,527.0,1818.0,445.0,0.3006,0.822
10,0,morning,thursday,11.0,56.2,0.7366,1066.0,512.0,1918.0,422.0,0.2476,0.8117
11,0,morning,thursday,10.5,58.1,0.7353,1052.0,553.0,1738.0,472.0,0.4244,0.8384
12,0,morning,thursday,10.2,59.6,0.7417,1144.0,667.0,1490.0,730.0,0.7251,0.9195
13,0,morning,thursday,10.8,57.4,0.7408,1333.0,900.0,1136.0,1102.0,0.9904,1.0417
14,0,morning,thursday,10.5,60.6,0.7691,1351.0,960.0,1079.0,1028.0,0.8931,1.087
15,0,morning,thursday,10.8,58.4,0.7552,1233.0,827.0,1218.0,860.0,0.8666,0.993
16,0,morning,thursday,10.5,57.9,0.7352,1179.0,762.0,1328.0,671.0,0.8135,0.9353
17,0,morning,thursday,9.5,66.8,0.7951,1236.0,774.0,1301.0,664.0,0.84,0.9621
18,0,afternoon,thursday,8.3,76.4,0.8393,1286.0,869.0,1162.0,799.0,0.9904,1.0554
