,true_error,given_label,true_label,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,diff9,diff10,diff11,diff12,diff13,diff14,diff15,diff16,diff17,diff18,diff19,diff20,diff21,diff22,diff23,diff24,diff25,diff26,diff27,diff28,diff29,diff30,diff31,diff32,diff33,diff34,diff35,diff36,diff37,diff38,diff39,diff40,diff41,diff42,diff43,diff44,diff45,diff46,diff47,diff48,diff49,diff50,diff51,diff52,diff53,diff54,diff55,diff56,diff57,diff58,diff59,diff60,diff61,diff62,diff63,diff64,diff65,diff66,diff67,diff68,diff69,diff70,diff71,diff72,diff73,diff74,diff75,diff76,diff77,diff78,diff79,diff80,diff81,diff82,diff83,diff84,diff85,diff86,diff87,diff88,diff89,diff90,diff91,diff92,diff93,diff94,diff95,diff96,diff97,diff98,diff99,diff100
0,0,0.6,0,0.24144322,0.055074014,0.18258756,0.13277176,0.38106224,0.5089852,0.30617067,0.45818126,0.037238,0.08610615,0.03284268,0.5482278,0.24563032,0.31204975,0.35139075,0.1566357,0.052267313,0.054906905,0.4326971,0.36625332,0.12199134,0.25596735,0.16115823,0.33717626,0.38996023,0.7200245,0.3670898,0.3520714,0.113238305,0.193377,0.30194736,0.1903956,0.09413201,0.004604779,0.027987778,0.731924,0.11725331,0.39401054,0.23173238,0.56505036,0.20465586,0.17926598,1.0721138,0.12100524,0.22145255,0.016489476,0.009124145,0.36011654,0.3801384,0.53328,0.4640297,0.08365236,0.025317147,0.11294399,0.052485798,0.14525115,0.080032736,0.3934217,0.004368216,0.20429994,0.008720562,0.0870935,0.27974272,0.20679267,0.104280345,0.16878289,0.16926345,0.11022738,0.2906202,0.4631499,0.32896182,0.38042903,0.57829636,0.10678796,0.27194077,0.17955494,0.3250981,0.3767354,0.07841979,0.2465213,0.33246225,0.38601607,0.6392271,0.017290242,0.28693148,0.08445138,0.057521205,0.18411118,0.20027079,0.2208209,0.30305156,0.25217146,0.31737322,0.11515695,0.19310221,0.024808317,0.091265425,0.18270889,0.30776787,0.09255773
1,0,1.6,2,0.09288698,0.1651927,0.30037993,0.8500508,0.16926494,0.3726325,0.298645,0.2881577,0.33030495,0.35500786,0.94338715,0.30724576,0.20371056,0.34961674,0.04867438,0.12590656,0.5386928,0.043177694,0.89171183,0.16044453,0.40104347,0.3841744,0.1059892,0.485721,0.05500126,0.69518185,0.3019287,0.25775927,0.12051186,0.42723805,0.028167024,0.20441146,0.20162472,0.1661098,0.0019315183,0.18660139,0.16537091,0.62406397,0.5714224,0.6925789,0.18879057,0.0045867264,0.32573572,0.08868762,0.37095934,0.17973265,0.068309486,0.83352447,0.08181381,0.08424643,0.3609874,0.40472546,0.16313061,0.10117096,0.19625406,0.19973971,0.66551685,0.25059038,0.12688802,0.46834,0.222251,0.10307664,0.81915545,0.26041842,0.14550829,0.2102198,0.5804609,0.23438273,0.492865,0.20830303,0.022380807,0.17990871,0.4468833,1.0035237,0.67801005,0.07291897,0.37670863,0.12757787,0.3845206,0.36452046,0.26576942,0.4039622,0.07385531,0.11564423,0.14131802,0.29949805,0.30443949,0.1593987,0.33046928,0.11993128,0.15844071,0.011659056,0.65396744,0.20628789,0.118473075,0.5860181,0.24809235,0.39360595,0.62212104,0.81341535
2,0,0.8,0,0.3054583,0.09286358,0.0067820847,0.06895393,0.407718,0.15258473,0.018967336,0.028637469,0.40058744,0.26206768,0.096984744,0.025250494,0.1292147,0.04458265,0.05933682,0.07876891,0.08711195,0.31845683,0.10164322,0.2116656,0.17303693,0.50727296,0.054840684,0.00033432245,0.016862072,0.17398378,0.17587939,0.30623412,0.1501615,0.35076198,0.1078136,0.23552251,0.04276085,0.015606791,0.49361652,0.21530828,0.7404594,0.23344213,0.2601109,0.16770771,0.3749538,0.3677088,0.22659095,0.115826964,0.44611752,0.13557746,0.12719926,0.004342675,0.3154351,0.29874942,0.11719403,0.16889769,0.1016661,0.2126765,0.4102283,0.44397414,0.02040317,0.07520873,0.0030245483,0.27906892,0.29249007,0.2425051,0.20420447,0.118474126,0.43451872,0.31761983,0.15818077,0.05829209,0.05123833,0.073635355,0.063062966,0.09617666,0.2386024,0.11457691,0.08278164,0.055897817,0.5668731,0.05787833,0.10245192,0.22495298,0.16437422,0.52466923,0.26800862,0.39537457,0.32351175,0.09877872,0.2396958,0.21310993,0.34565532,0.38602918,0.08502043,0.22843492,0.04482257,0.06635209,0.37872,0.3191506,0.18934742,0.4164204,0.29567394,0.14797181
3,0,0.4,1,0.043424547,0.30647856,0.12799254,0.3152107,0.19074933,0.59533376,0.10380758,0.17719293,0.47687283,0.15294428,0.32339644,0.18301418,0.14513394,0.2537707,0.08556084,0.12559387,0.054427773,0.40263402,0.057581663,0.08643481,0.16205724,0.6731201,0.33673698,0.210777,0.24546629,0.45211634,0.32149687,0.019750118,0.65740275,0.25580105,0.3122906,0.01741317,0.16966793,0.025560208,0.19585834,0.46344313,0.18841887,0.0885071,0.106476046,0.07302697,0.33058795,0.11188292,0.65310097,0.06094992,0.1919289,0.58107895,0.29678103,0.23558074,0.120162725,0.25685227,0.15175393,0.3985759,0.80047685,0.33804286,0.18471774,0.43216255,0.62967074,0.029146971,0.037054896,0.3180753,0.021015925,0.21976987,0.35047185,0.4003686,0.07226686,0.24961072,0.075338915,0.46857452,0.21262717,0.31091344,0.6690094,0.4294626,0.48365778,0.010997623,0.07957327,0.8280832,0.24162325,0.10445138,0.34160298,0.13700621,0.45475,0.19015093,0.30862266,0.027022362,0.30414635,0.08688089,0.24934182,0.5171983,0.26017267,0.05618587,0.42299792,0.042624593,0.026958838,0.40499046,0.13403775,0.34798512,0.34610784,0.14047535,0.2549295,0.42022675
4,0,1.0,0,0.01923491,0.27262887,0.4875815,0.21747269,0.41978168,0.31556657,0.14679141,0.00865072,0.2596783,0.19441858,0.18560585,0.20509689,0.09833561,0.10625593,0.29181075,0.17612335,0.24374834,0.16587128,0.017881736,0.16092452,0.43905222,0.020190105,0.0072148144,0.22880381,0.35559034,0.17492215,0.6780026,0.3719368,0.109412365,0.38783994,0.040621668,0.009685785,0.06309174,0.03802705,0.4522073,0.6148957,0.3225201,0.4490289,0.05451268,0.2563781,0.27853346,0.25248176,0.23680773,0.5469701,0.47842175,0.078413606,0.6957493,0.25414205,0.29039326,0.15296185,0.15389533,0.37537587,0.026141942,0.019133642,0.39754087,0.44883293,0.14172204,0.32008868,0.09177611,0.08016051,0.36305064,0.07785935,0.29953,0.3341977,0.12349482,0.5205914,0.08638281,0.10113066,0.080120265,0.2775327,0.0630067,0.042184442,0.2188822,0.3149234,0.17227101,0.011396259,0.26632917,0.22945577,0.04320146,0.3474213,0.4473989,0.03393449,0.26042756,0.042511426,0.13438463,0.08761856,0.061176438,0.17533176,0.20368525,0.16752486,0.15759832,0.40765697,0.22658375,0.24407762,0.5069274,0.09300223,0.51413107,0.30683434,0.25627273,0.221546
5,0,0.8,0,0.44417074,0.039917022,0.4543279,0.061658345,0.4373753,0.12610936,0.16686901,0.2824579,0.25779343,0.0789902,0.051381797,0.007852092,0.20526743,0.040837042,0.08358065,0.0499484,0.18910857,0.49154943,0.4000898,0.5332465,0.41630667,0.33395952,0.36216784,0.08085979,0.34754115,0.34706122,0.5068221,0.003555566,0.0009602308,0.12899777,0.3011756,0.26212654,0.32170412,0.013540223,0.40736496,0.060542166,0.22510904,0.09766613,0.054986894,0.20985174,0.24285609,0.010855436,0.3074957,0.046232954,0.17902133,0.15319347,0.18314904,0.36622775,0.12188559,0.11398138,0.5899977,0.07879919,0.47010326,0.14611964,0.12031263,0.20849283,0.19368255,0.6062274,0.14781377,0.72091806,0.2255801,0.14690898,0.103928536,0.011584244,0.052611873,0.04354492,0.2778751,0.5880809,0.032062307,0.2545319,0.08984065,0.08342935,0.285851,0.1722717,0.48760685,0.01916191,0.18085727,0.04589778,0.31536815,0.4892662,0.19729684,0.13337277,0.23838586,0.02758187,0.028125823,0.39584064,0.09323583,0.09777731,0.4375827,0.2767534,0.17130364,0.12074165,0.2993128,0.13088089,0.7081505,0.2203536,0.20904015,0.6437056,0.078307986,0.00088760257
6,0,0.6,0,0.0016850531,0.36903968,0.069050625,0.30512854,0.4101771,0.38721874,0.42166087,0.16751654,0.593862,0.19126485,0.079959095,0.11521858,0.22638354,0.5540962,0.21259204,0.27429244,0.16669846,0.4479384,0.32120472,0.357121,0.3689093,0.015046865,0.8841107,0.37457466,0.18785,0.083778195,0.7956299,0.5057266,0.44139963,0.13499668,0.20620883,0.026328549,0.3772425,0.4459399,0.002748549,0.39703432,0.20290488,0.23658064,0.7102971,0.59261966,0.07128051,0.07891062,0.18191484,1.3724053,0.0015049465,0.515375,0.6604815,0.22342053,0.22883837,0.031142633,0.58980185,0.4930496,0.30561525,0.13117193,0.398915,0.5288451,0.530723,0.9364755,0.26135674,0.021456182,0.7645211,0.2104717,0.06283669,0.3029435,0.1653578,0.005977571,0.24890447,0.65402853,0.5371923,0.01032044,0.27051798,0.09896592,0.013987878,0.33336627,0.77077305,0.051180772,0.2150967,0.055461295,0.5315864,0.3977425,0.005710736,0.18438035,0.46330822,0.4660215,0.25750184,0.07321489,0.08160323,0.15716007,0.7626473,0.24241911,0.036772266,0.12488061,0.107419215,0.5828584,1.14917,0.3956731,0.10928239,1.0691504,0.5145252,0.095705435
7,0,2.4,3,0.31408656,0.13870363,0.09400687,0.10647277,1.072475,0.040357098,0.5200187,0.050329253,0.4143193,0.22345075,0.26170534,0.12143952,0.065659605,0.5904849,0.21539441,0.43164584,0.7193479,0.115680575,0.5770016,0.43573284,0.0705314,0.26147795,0.3471553,0.4953302,0.40927422,0.32858843,0.16844237,0.21752329,0.36543256,0.14959985,0.32661694,0.52778196,0.44013438,0.3753593,0.83459723,0.33016047,0.4833636,0.018412165,0.35249326,0.099292636,0.84711033,0.054880947,1.2475531,0.1936272,0.39364958,0.2977024,0.5225232,0.93225837,0.18507057,0.52593005,0.47609943,0.39704674,0.022696912,0.40815964,0.6251873,1.0418017,0.19614032,0.6906798,0.6362602,0.53421307,0.091329634,0.38694534,0.14897144,0.16598994,0.096030384,0.16914704,0.21679753,0.34059793,0.25596347,0.11768165,0.09657365,0.6160371,0.6158446,0.20362493,0.20314164,0.2620028,0.5418258,0.054129556,0.17068477,0.16249317,0.5355021,0.15876159,0.19901597,0.02506259,0.12276964,0.91061115,0.24146134,0.40405542,0.074102774,0.42923468,0.057818074,0.19434541,0.025883824,0.10239051,0.26411283,0.12682903,0.74347633,0.40266165,0.71045184,0.58531505
8,0,1.2,1,0.5308184,0.22195837,0.15671301,0.37138873,0.16877177,0.5931574,0.50082433,0.40010017,0.5929976,0.27387983,0.14136682,0.18766809,0.10823274,0.5954968,0.17501411,0.26583135,0.48151863,0.15947697,0.057795778,0.20570609,0.030953974,0.14129882,0.426919,0.13946402,0.62662697,0.55824804,0.4858461,0.088767774,0.19508085,0.06456125,0.16477916,0.06608692,0.5478717,0.051813353,0.30430025,0.58766794,0.28408918,0.54046357,0.70892084,0.15993223,0.12543608,0.106484234,0.62413585,0.08216902,0.33786336,0.28283405,0.6103956,0.06774336,0.63016546,0.33362365,0.4069775,0.32757795,0.12961721,0.53996855,0.21584709,0.64346373,0.3084402,0.6196253,0.26096132,0.3662105,0.2422282,0.72721297,1.0616633,0.49245507,0.18996254,0.4816401,0.7782347,0.030796234,0.22302389,0.16090833,0.21180373,0.36998636,0.2682604,0.29323027,0.46257675,0.33086687,0.22317444,0.49381602,0.071216255,0.51364225,0.04523264,0.2665469,0.7380535,0.33569664,0.53370976,0.02996479,0.673747,0.6641428,0.05670924,0.15788862,0.3285659,0.8838949,0.52527225,0.11757296,0.8186736,0.023225605,0.2503662,0.13901055,0.14527047,0.12875514
9,0,1.2,0,0.31806004,0.15995416,0.087693214,0.44822502,0.21774143,0.050496846,0.19584052,0.043224063,0.23992795,0.11687034,0.022084504,0.31425804,0.16596583,0.52647036,0.08015676,0.13918339,0.25516474,0.27249593,0.06279353,0.20847982,0.30586648,0.16480497,0.16525438,0.37720096,0.012647685,0.05362399,0.11266042,0.43607837,0.24982303,0.29829118,0.504876,0.017027661,0.2982942,0.0017343089,0.0889526,0.55578804,0.066979565,0.118104786,0.118590444,0.26292962,0.18454915,0.023325972,0.11001322,0.13703328,0.3962478,0.38958067,0.2680954,0.30092004,0.2878245,0.2570899,0.04497069,0.0565954,0.15100448,0.1568435,0.028939515,0.29331037,0.6508552,0.23911393,0.41133672,0.05856719,0.2201111,0.13572149,0.41288495,0.058315545,0.3769068,0.3115945,0.19300666,0.13425633,0.25980002,0.48285413,0.07022184,0.06657305,0.4972477,0.41426322,0.0005241819,0.017417967,0.1914207,0.074513674,0.124779284,0.08208196,0.47160852,0.4687162,0.14657953,0.25095996,0.43371117,0.11690807,0.21176374,0.20439291,0.058337808,0.10338918,0.49572027,0.30827096,0.037837774,0.1223426,0.057936333,0.2560774,0.042133987,0.41740766,0.100365534,0.31335434
10,0,1.4,2,0.124586865,0.10095662,0.24442117,0.5708939,0.12944606,0.09046068,0.07201749,0.13669668,0.030451119,0.70166343,0.0066795647,0.31350106,0.63154495,0.21763092,0.13755524,0.035424586,0.2639056,0.13022661,0.09584963,0.38502306,0.11242907,0.46631742,0.56257993,0.51399344,0.03818739,0.3051657,0.57133466,0.14584512,0.12294242,0.09880097,0.5472283,0.3052648,0.46780106,0.38111413,0.14695841,0.39546296,0.29686004,0.06414822,0.38629156,0.23439844,0.048568666,0.15974459,0.040046774,0.62013984,0.045434535,0.26946837,0.14425142,0.24465594,0.22683845,0.5277366,0.16606659,0.64135396,0.3939634,0.4522902,0.32244605,0.15657964,0.42708313,0.34385502,0.12444797,0.42500162,0.19356611,0.13197905,0.4952533,0.12432005,0.52744603,0.09911427,0.07867597,0.3452751,0.069878966,0.14583454,0.2460058,0.20009376,0.2528928,0.36676484,0.20841403,0.47962803,0.27523857,0.42344952,0.5359429,0.13284686,0.33490762,0.18133491,0.0082215965,0.6694135,0.25161728,0.183188,0.14788692,0.28986517,0.45157406,0.1346039,0.38920012,0.6056906,0.001597017,0.30707178,0.28599265,0.6411553,0.03714949,0.50229454,0.0908234,0.19319472
11,0,0.4,0,0.10240057,0.18393724,0.3429731,0.37929228,0.3620697,0.28356898,0.49416947,0.12212232,0.50127405,0.07688567,0.54144776,0.20536405,0.4524634,0.36898622,0.28082165,0.50975055,0.07702108,0.23646039,0.02266682,0.06512881,0.32877928,0.17083958,0.18072814,0.23214355,0.4032143,0.18201682,0.07500564,0.3865888,0.67525756,0.23881866,0.122203276,0.06663066,0.073426805,0.20034945,0.01355795,0.2762917,0.20274511,0.4494387,0.02510845,0.055489875,0.02215001,0.17655662,0.22240497,0.13449438,0.6709311,0.30362594,0.2714162,0.052721,0.09210557,0.020637382,0.083081886,0.18824434,0.17037307,0.28372437,0.04698302,0.097586975,0.11114152,0.2422157,0.32138315,0.18016237,0.26547974,0.89844275,0.26969537,0.29108495,0.118648805,0.13834377,0.22085403,0.37318882,0.011095725,0.07004905,0.2812663,0.31909984,0.21904406,0.29163012,0.25322595,0.53486323,0.24327844,0.111895435,0.07546757,0.096925706,0.32567903,0.20569308,0.0074760243,0.157818,0.027332343,0.41368508,0.20871326,0.18483889,0.12059307,0.12217328,0.07244833,0.011382723,0.0419608,0.081465006,0.39605337,0.5667786,0.1650711,0.15550652,0.08079673,0.06594844
12,0,1.4,1,0.22551352,0.34046185,0.1839326,0.23922804,0.5978963,0.09267613,0.37471154,0.068724185,0.32290596,0.3775647,0.58726215,0.25549066,0.41778895,0.10354532,0.23930934,0.073883444,0.2454716,0.10849698,0.4534461,0.33552274,0.28205013,0.20404242,0.5367091,0.2331864,0.27722484,0.15791771,0.098808974,0.400345,0.5576041,0.07477069,0.07669412,0.004861474,0.32112342,0.16258067,0.63947356,0.33819714,0.5127005,0.08304826,0.2898208,0.34668046,0.1124621,0.2696698,0.0995117,0.12385485,0.02557943,0.25512862,0.15958384,0.5949639,0.18681218,0.15399268,0.61175174,0.025266923,0.14597508,0.0837565,0.20851177,0.25007564,0.26518843,0.16319306,0.08156067,0.365799,0.105706304,0.14148295,0.42090493,0.18809307,0.10238655,0.6795484,0.7496166,0.09523575,0.045525342,0.31590676,0.36893234,0.35472062,0.0021018758,0.5218218,0.24861893,0.18452674,0.29989344,0.24459496,0.19680789,0.019566834,0.17216039,0.095746666,0.21171002,0.4775585,0.071804315,0.32807705,0.22035979,0.724095,0.13824825,0.017488219,0.2583555,0.25163555,0.18787871,0.20930892,0.3038146,0.28584945,0.30115378,0.22666585,0.11641695,0.09478408
13,0,1.2,1,0.031571,0.3115433,0.27156973,0.08305171,0.23392639,0.18942194,0.049272526,0.09496357,0.66605353,0.15608169,0.20369703,0.09479487,0.38189542,0.39533028,0.18205896,0.3707639,0.13415779,0.30148107,0.30313396,0.05267875,0.12166198,0.20171353,0.72945917,0.98532844,0.006112933,0.08109885,0.21441162,0.18673532,0.24039316,0.46148446,0.15904784,0.13650529,0.25940073,0.330565,0.6367402,0.22239052,0.6746292,0.18684502,0.027241483,0.20560898,0.20493366,0.2792465,0.42441317,0.040456593,0.18742336,0.5678337,0.13052872,0.51217735,0.34646514,0.24223141,0.40533575,0.062574506,0.16936162,0.069083184,0.54898804,0.0057991743,0.014659066,0.2658078,0.090716586,0.346406,0.07655729,0.32362285,0.016526237,0.21029784,0.34522268,0.1908806,0.12501097,0.0382488,0.032457724,0.069781065,0.24314398,0.13615437,0.1006577,0.19352661,0.46662003,0.40068936,0.3696337,0.09923155,0.24771345,0.26321146,0.42167783,0.28647196,0.27414072,0.16012041,0.18559656,0.12184331,0.42499247,0.1447216,0.17163637,0.0038525984,0.06541878,0.022522032,0.14853616,0.107223645,0.29987228,0.03742984,0.35952,0.112001136,0.075442314,0.39730912
14,1,2.6,0,0.55840755,0.43234777,0.23113857,0.29045707,0.62224007,0.33674616,0.013385594,0.13317618,0.10488112,0.07985334,0.22989821,0.13576093,0.098445356,0.61869746,0.091418415,0.020867407,0.1957743,0.021860939,0.12095785,0.28974873,0.68825674,0.09095883,0.2261811,0.475846,0.3071542,0.15482964,0.34734067,0.08599082,0.1407606,0.045569405,0.46287635,0.12784833,0.12050234,0.5566329,0.028673515,0.40940797,0.505307,0.104542375,0.20824648,0.017966568,0.75794,0.09034325,0.20522064,0.20611441,0.443583,0.04611355,0.049236137,0.6131927,0.00096967816,0.6598202,0.15515855,0.18317588,0.22922683,0.05909112,0.33102044,0.3282316,0.59299356,0.10218636,0.09639424,0.19223909,0.09960116,0.07002075,0.1727448,0.047678143,0.38694805,0.24174488,0.538604,0.102645285,0.028159294,0.24840182,0.14664865,0.2910254,0.3231666,0.04848745,0.17578787,0.0393444,0.5056101,0.52790415,0.17438479,0.07213757,0.029540762,0.12468395,0.14779039,0.51069856,0.14360636,0.08795366,0.4434076,0.03534043,0.07492271,0.2302674,0.30369452,0.58104134,0.076683946,0.26867747,0.4284333,0.269303,0.09776808,0.46226138,0.19165307,0.3056894
